name	chao	shannon	group
ERR10946172	78.5	3.258486	HC
ERR10946174	62.6	3.22706	HC
ERR10946179	60.142857	3.14577	HC
ERR10946185	66.428571	3.307947	HC
ERR10946194	59.0	3.052563	HC
ERR10946204	65.75	3.097809	HC
ERR10946207	67.117647	3.252536	HC
ERR10946212	75.0	3.360765	HC
ERR10946217	70.2	3.249326	HC
ERR10946240	63.5	3.406433	HC
ERR10946243	80.0	3.169592	HC
ERR10946245	71.4375	3.3104	HC
ERR10946260	63.0	2.995809	HC
ERR10946261	68.333333	3.498484	HC
ERR10946262	60.0	3.080888	HC
ERR10946264	80.125	3.256505	HC
ERR10946272	64.75	2.988303	HC
ERR10946273	60.857143	2.973702	HC
ERR10946274	76.0	3.306148	HC
ERR10946280	66.0	3.263518	HC
ERR10946281	54.142857	2.857665	HC
ERR10946299	63.111111	3.221443	HC
ERR10946302	66.4	3.295788	HC
ERR10946303	57.25	2.96675	HC
ERR10946307	77.142857	3.194363	HC
ERR10946314	70.0	3.553107	HC
ERR10946316	57.625	3.165645	HC
ERR10946320	52.666667	3.264233	HC
ERR10946326	63.111111	3.198841	HC
ERR10946327	64.333333	3.254727	HC
ERR10946331	66.5	2.853021	HC
ERR10946339	66.857143	3.267338	HC
ERR10946364	61.0	3.229792	HC
ERR10946365	62.0	3.254396	HC
ERR10946372	65.25	3.044399	HC
ERR10946378	67.090909	3.31857	HC
ERR10946384	59.142857	2.555336	HC
ERR10946385	64.0	3.284402	HC
ERR10946386	63.142857	3.363721	HC
ERR10946388	40.0	2.617655	HC
ERR10946389	73.0	2.520957	HC
ERR10946390	60.0	3.029526	HC
ERR10946399	80.375	3.581538	HC
ERR10946400	73.75	2.859165	HC
ERR10946401	57.5	3.322313	HC
ERR10946402	53.0	2.893025	HC
ERR10946403	52.5	2.796292	HC
ERR10946409	66.583333	3.152128	HC
ERR10946410	63.2	3.255273	HC
ERR10946411	101.333333	2.83601	HC
ERR10946412	57.333333	2.366052	HC
ERR10946414	57.333333	3.087468	HC
ERR10946415	58.857143	3.414986	HC
ERR10946417	54.2	3.05249	HC
ERR10946419	55.428571	3.038904	HC
ERR10946423	86.0	3.359803	HC
ERR10946432	32.2	2.420413	HC
ERR10946434	65.4	3.427169	HC
ERR10946437	60.5	2.856132	HC
ERR10946438	73.5	3.347508	HC
ERR10946439	59.625	3.08475	HC
ERR10946440	46.428571	2.989115	HC
ERR10946446	69.75	3.280421	HC
ERR10946451	70.2	3.170924	HC
ERR10946455	61.5	3.206238	HC
ERR10946456	80.375	3.347183	HC
ERR10946462	58.75	2.808081	HC
ERR10946463	55.5	3.223802	PD
ERR10946465	57.25	2.651894	PD
ERR10946467	51.142857	3.000766	PD
ERR10946468	54.0	2.365674	PD
ERR10946469	54.0	2.782761	PD
ERR10946470	55.142857	2.603289	PD
ERR10946471	83.166667	3.448261	PD
ERR10946472	56.2	2.918452	PD
ERR10946473	49.0	2.668975	PD
ERR10946478	56.5	2.543406	PD
ERR10946479	61.0	3.011318	PD
ERR10946480	55.0	3.0743	PD
ERR10946482	56.25	2.725004	PD
ERR10946485	29.5	2.081232	PD
ERR10946490	51.545455	2.657277	PD
ERR10946491	81.0	2.886313	PD
ERR10946493	48.2	3.004017	PD
ERR10946496	58.111111	2.832205	PD
ERR10946498	53.2	2.708436	PD
ERR10946500	61.461538	3.029848	PD
ERR10946501	56.5	3.180627	PD
ERR10946505	58.0	2.526968	PD
ERR10946510	64.0	2.762672	PD
ERR10946511	62.0	2.920056	PD
ERR10946512	81.0	3.14367	PD
ERR10946513	64.25	3.327518	PD
ERR10946518	63.5	3.245568	PD
ERR1549010	53.25	3.134031	PD
ERR1549011	51.5	3.116515	PD
ERR1549012	40.0	2.444653	PD
ERR1549013	44.0	2.473331	PD
ERR1549014	38.75	2.366765	PD
ERR1549015	43.666667	2.536973	PD
ERR1549016	47.25	2.963069	PD
ERR1549017	51.111111	2.967342	PD
ERR1549018	40.6	1.831922	PD
ERR1549019	54.875	3.00392	PD
ERR1549021	51.5	2.750902	PD
ERR1549022	62.0	3.038697	PD
ERR1549024	48.75	1.79141	PD
ERR1549026	48.142857	2.78454	PD
ERR1549027	33.0	2.535887	PD
ERR1549028	4.0	0.711418	PD
ERR1549029	39.5	2.541633	HC
ERR1549030	37.5	2.257521	HC
ERR1549031	49.0	2.516185	HC
ERR1549034	46.0	2.178337	HC
ERR1549035	31.0	2.461916	HC
ERR1549036	51.0	2.02782	HC
ERR1549037	26.5	2.225827	HC
ERR1549038	50.25	2.958064	HC
ERR1549039	34.0	2.571598	HC
ERR1549043	37.666667	2.492686	HC
ERR1549047	32.333333	2.414015	HC
ERR1549048	44.428571	2.394405	PD
ERR1549049	29.2	2.524364	PD
ERR1549051	34.166667	2.296146	PD
ERR1549052	24.2	1.953181	PD
ERR1549053	40.5	2.501033	PD
ERR1549054	55.0	2.437518	PD
ERR1549055	31.2	2.347789	PD
ERR1549056	30.0	2.361472	PD
ERR1549057	21.0	2.215968	PD
ERR1549058	36.0	2.32149	HC
ERR1549059	15.0	1.734783	HC
ERR1549060	26.2	2.201804	HC
ERR1549061	39.0	2.663604	HC
ERR1549063	31.0	2.076692	HC
ERR1549064	28.333333	2.212316	HC
ERR1549065	48.090909	2.916263	HC
ERR1549066	40.0	3.079958	HC
ERR2730172	53.0	3.219374	HC
ERR2730205	40.25	3.131474	HC
ERR2730218	58.625	3.072316	PD
ERR2730236	58.625	3.247161	PD
ERR2730239	56.0	2.842581	PD
ERR2730244	48.0	2.397387	PD
ERR2730253	32.0	2.859508	PD
ERR2730254	53.5	3.217615	PD
ERR2730255	45.0	2.739733	PD
ERR2730269	57.428571	3.318623	PD
ERR2730277	53.333333	2.824989	HC
ERR2730297	40.0	3.114674	HC
ERR2730300	42.6	2.945677	HC
ERR2730319	41.0	2.63296	HC
ERR2730320	51.0	2.571669	HC
ERR2730342	44.333333	3.184967	PD
ERR2730346	55.0	2.871438	PD
ERR2730357	68.333333	3.186516	PD
ERR2730367	47.6	2.951151	PD
ERR2730382	43.142857	2.614832	PD
ERR3040017	38.0	2.675915	PD
ERR3046417	11.0	0.631022	PD
ERR3046609	14.0	0.738751	PD
ERR365835	55.428571	3.192845	HC
ERR365837	51.428571	3.143934	HC
ERR365839	49.25	2.871817	HC
ERR365842	66.142857	3.289043	HC
ERR365843	63.0	3.125939	HC
ERR365847	54.666667	3.109761	HC
ERR365849	58.5	3.296623	HC
ERR365850	46.142857	1.584086	HC
ERR365851	30.0	2.117074	HC
ERR365853	67.166667	3.365458	HC
ERR365855	60.75	2.235618	HC
ERR365856	56.75	2.909409	HC
ERR365859	43.6	2.744907	HC
ERR365860	40.0	2.958195	HC
ERR365861	45.428571	3.030301	HC
ERR365864	54.0	3.036491	HC
ERR365865	54.6	2.881901	HC
ERR365866	41.166667	0.855429	HC
ERR365870	61.5	2.902061	HC
ERR365873	50.666667	2.894298	HC
ERR365874	60.111111	3.025911	HC
ERR365881	37.0	2.799842	HC
ERR365883	52.0	2.841236	HC
ERR365886	38.0	2.377997	HC
ERR365887	48.333333	2.784769	HC
ERR365888	72.5	3.117718	HC
ERR365893	55.166667	3.071126	HC
ERR365894	46.0	2.53073	HC
ERR365896	48.6	2.785744	HC
ERR365900	48.5	3.213042	HC
ERR365902	47.0	3.093904	HC
ERR365904	57.5	3.043486	HC
ERR365909	57.857143	2.64941	PD
ERR365911	50.5	3.086335	PD
ERR365912	55.333333	3.147284	PD
ERR365915	61.75	2.863936	PD
ERR365916	29.666667	1.50604	PD
ERR365920	61.0	3.349162	PD
ERR365921	44.428571	2.999159	PD
ERR365922	52.0	3.278359	PD
ERR365925	43.0	2.31821	PD
ERR365926	50.333333	2.983546	PD
ERR365929	42.0	3.316035	PD
ERR365931	45.428571	2.967622	PD
ERR365932	46.142857	2.97402	PD
ERR365933	41.0	2.969192	PD
ERR365934	51.0	3.18313	PD
