	mean	cag_group
Lachnospira_eligens	0.650388602	CAG8
Breznakia_pachnodae	0.217223036	CAG12
Phocaeicola_massiliensis	1.107565337	CAG1
Phocaeicola_dorei	4.571821402	CAG1
Sporobacter_termitidis	0.261186802	CAG5
Streptococcus_thermophilus	0.27090401	CAG2
Lachnospira_pectinoschiza	0.20524437	CAG6
Phocaeicola_plebeius	0.720658249	CAG1
Faecalibacterium_prausnitzii	1.642337435	CAG3
Alistipes_shahii	0.431704042	CAG8
Parabacteroides_goldsteinii	0.229033117	CAG4
Acinetobacter_johnsonii	0.184514324	CAG4
Ruminiclostridium_cellobioparum	0.253778624	CAG8
Butyricicoccus_faecihominis	0.201822031	CAG6
Citrobacter_gillenii	0.162402715	CAG12
Sutterella_massiliensis	0.143152647	CAG4
Prevotella_stercorea	0.151340186	CAG1
Intestinimonas_timonensis	0.184934865	CAG5
Ruminococcus_albus	0.157746406	CAG1
Anaerobutyricum_hallii	0.146838197	CAG3
Enterocloster_bolteae	0.441098847	CAG7
Romboutsia_timonensis	0.365739385	CAG2
Lachnoclostridium_edouardi	0.38168738	CAG3
Eubacterium_rectale	1.789928699	CAG6
Proteus_mirabilis	0.431916846	CAG4
Ruminococcus_bromii	1.022975028	CAG8
Butyrivibrio_crossotus	0.173401183	CAG1
Parabacteroides_distasonis	0.972455852	CAG1
Congzhengia_minquanensis	0.290547642	CAG5
Solibaculum_mannosilyticum	0.193531977	CAG2
Akkermansia_muciniphila	2.514502897	CAG5
Hungatella_hathewayi	0.124227514	CAG7
Gemmiger_formicilis	1.266268219	CAG9
Blautia_obeum	0.171656697	CAG3
Pseudomonas_mangiferae	0.371985251	CAG2
Acidaminococcus_intestini	0.560179917	CAG2
Flavonifractor_plautii	0.336077953	CAG7
Pseudomonas_paraversuta	0.166882415	CAG4
Bacteroides_caccae	2.008017383	CAG1
Citrobacter_telavivensis	0.390123321	CAG4
Bacteroides_salyersiae	0.126459161	CAG4
Anaerostipes_hadrus	0.395144117	CAG3
Odoribacter_splanchnicus	0.199475656	CAG1
Flintibacter_butyricus	0.438709416	CAG10
