row	col	cor	p	abs
Bacteroides_uniformis	Phocaeicola_vulgatus	0.124232	0.012	0.124232
Phocaeicola_dorei	Phocaeicola_vulgatus	-0.56749	0.0	0.56749
Bacteroides_caccae	Phocaeicola_vulgatus	0.144489	0.0	0.144489
Faecalibacterium_prausnitzii	Phocaeicola_vulgatus	0.122826	0.0	0.122826
Bacteroides_fragilis	Phocaeicola_vulgatus	-0.212209	0.0	0.212209
Phocaeicola_massiliensis	Phocaeicola_vulgatus	0.134799	0.0	0.134799
Alistipes_putredinis	Phocaeicola_vulgatus	0.107046	0.012	0.107046
Bacteroides_xylanisolvens	Phocaeicola_vulgatus	0.118704	0.0	0.118704
Congzhengia_minquanensis	Phocaeicola_vulgatus	-0.118123	0.0	0.118123
Pseudoruminococcus_massiliensis	Phocaeicola_vulgatus	-0.136543	0.0	0.136543
Neglectibacter_timonensis	Phocaeicola_vulgatus	-0.13347	0.0	0.13347
Phocaeicola_dorei	Bacteroides_uniformis	0.113114	0.0	0.113114
Citrobacter_cronae	Bacteroides_uniformis	-0.104872	0.0	0.104872
Akkermansia_muciniphila	Bacteroides_uniformis	-0.13536	0.0	0.13536
Pseudescherichia_vulneris	Bacteroides_uniformis	-0.110606	0.0	0.110606
Parabacteroides_merdae	Bacteroides_uniformis	0.160544	0.0	0.160544
Eubacterium_rectale	Bacteroides_uniformis	0.126048	0.0	0.126048
Bacteroides_ovatus	Bacteroides_uniformis	0.105992	0.0	0.105992
Alistipes_putredinis	Bacteroides_uniformis	0.286617	0.0	0.286617
Gemmiger_formicilis	Bacteroides_uniformis	0.102984	0.0	0.102984
Prevotella_copri	Bacteroides_uniformis	-0.132288	0.0	0.132288
Ruthenibacterium_lactatiformans	Bacteroides_uniformis	-0.131463	0.0	0.131463
Fenollaria_massiliensis	Bacteroides_uniformis	-0.122245	0.0	0.122245
Blautia_faecis	Bacteroides_uniformis	-0.111769	0.0	0.111769
Coprococcus_phoceensis	Bacteroides_uniformis	-0.142397	0.0	0.142397
Blautia_luti	Bacteroides_uniformis	0.104744	0.0	0.104744
Marseillibacter_massiliensis	Bacteroides_uniformis	0.165861	0.0	0.165861
Bacteroides_humanifaecis	Bacteroides_uniformis	-0.288215	0.0	0.288215
Faecalibacterium_butyricigenerans	Bacteroides_uniformis	0.121815	0.0	0.121815
Eisenbergiella_tayi	Bacteroides_uniformis	-0.186833	0.0	0.186833
Fournierella_massiliensis	Bacteroides_uniformis	-0.113784	0.0	0.113784
Guopingia_tenuis	Bacteroides_uniformis	-0.105156	0.0	0.105156
Romboutsia_timonensis	Bacteroides_uniformis	-0.126056	0.0	0.126056
Frisingicoccus_caecimuris	Bacteroides_uniformis	-0.114256	0.0	0.114256
Hungatella_hathewayi	Bacteroides_uniformis	-0.125519	0.0	0.125519
Bacteroides_cellulosilyticus	Bacteroides_uniformis	0.128239	0.0	0.128239
Bacteroides_thetaiotaomicron	Bacteroides_uniformis	0.129521	0.0	0.129521
Pseudomonas_paraversuta	Bacteroides_uniformis	-0.101909	0.0	0.101909
Phascolarctobacterium_faecium	Kosakonia_quasisacchari	0.143404	0.0	0.143404
Bacteroides_zhangwenhongii	Kosakonia_quasisacchari	0.169891	0.0	0.169891
Pseudescherichia_vulneris	Kosakonia_quasisacchari	0.254128	0.0	0.254128
Phocaeicola_massiliensis	Kosakonia_quasisacchari	0.106395	0.0	0.106395
Acidaminococcus_intestini	Kosakonia_quasisacchari	0.16019	0.0	0.16019
Bacteroides_timonensis	Kosakonia_quasisacchari	0.140591	0.0	0.140591
Pseudomonas_mangiferae	Kosakonia_quasisacchari	0.266516	0.0	0.266516
Ruminococcus_gnavus	Kosakonia_quasisacchari	0.118729	0.0	0.118729
Citrobacter_telavivensis	Kosakonia_quasisacchari	0.1054	0.0	0.1054
