name	chao	shannon	group
ERR10946187	57.5	2.546506	HC
ERR10946189	40.5	2.327872	HC
ERR10946238	58.25	2.601165	HC
ERR10946263	57.5	2.88606	HC
ERR10946289	70.166667	3.006718	HC
ERR10946329	56.0	3.020585	HC
ERR10946368	56.6	3.027462	HC
ERR10946374	58.0	3.092587	HC
ERR10946396	31.5	2.332802	HC
ERR10946404	54.5	2.870227	HC
ERR3046434	19.0	2.031242	HC
ERR3046626	19.0	2.134638	HC
SRR10911129	9.5	1.183733	PD
SRR10911130	74.5	2.366627	PD
SRR10911131	62.0	2.876731	HC
SRR10911136	62.142857	2.703659	PD
SRR10911140	22.75	1.824407	HC
SRR10911144	46.142857	2.288604	HC
SRR10911148	35.666667	2.204356	HC
SRR10911150	76.5	3.035033	HC
SRR10911153	49.25	2.470558	HC
SRR10911154	44.1	2.448076	HC
SRR10911155	61.166667	2.679467	HC
SRR10911159	37.333333	2.485176	HC
SRR10911166	46.1	2.269111	HC
SRR10911169	71.0	2.477967	HC
SRR10911178	39.0	2.657306	PD
SRR10911181	55.166667	2.221177	PD
SRR10911189	33.428571	1.970831	PD
SRR10911191	45.666667	2.561811	PD
SRR10911199	21.25	1.87196	HC
SRR10911204	57.5	2.560588	PD
SRR10911205	84.428571	2.754573	HC
SRR10911212	61.1	2.338063	HC
SRR10911214	63.333333	2.635986	PD
SRR10911219	56.5	2.367681	HC
SRR10911220	9.0	1.521636	PD
SRR10911222	48.0	2.257709	HC
SRR10911224	28.5	1.479508	HC
SRR10911225	27.0	1.54369	PD
SRR10911228	36.0	1.190761	HC
SRR10911229	30.875	1.811256	HC
SRR10911230	32.0	2.3801	HC
SRR10911233	58.625	2.544523	HC
SRR10911234	57.666667	2.960697	HC
SRR10911236	33.2	2.281764	PD
SRR10911239	43.769231	2.15875	HC
SRR10911241	54.2	2.552133	HC
SRR10911246	70.0	2.980479	PD
SRR10911247	51.142857	2.438971	PD
SRR10911249	25.25	2.39346	PD
SRR10911252	42.5	2.238654	PD
SRR10911253	67.6	3.349068	HC
SRR10911257	78.333333	3.273502	PD
SRR10911260	74.25	2.461174	HC
SRR10911262	90.25	2.633864	PD
SRR10911265	60.428571	2.122048	PD
SRR10911266	46.0	3.039071	HC
SRR10911271	57.428571	2.34649	HC
SRR10911277	64.0	2.774039	HC
SRR10911278	27.333333	1.433843	PD
SRR10911279	34.8	1.387329	PD
SRR10911280	25.0	1.684049	HC
SRR10911281	56.545455	2.791884	PD
SRR10911285	30.0	1.119322	PD
SRR10911287	43.0	2.346842	HC
SRR10911293	50.5	2.591249	PD
SRR10911295	16.0	1.465912	HC
SRR10911296	56.583333	1.991386	PD
SRR10911300	54.0	2.712165	PD
SRR10911301	22.0	1.260844	PD
SRR10911302	55.5	2.403411	HC
SRR10911304	42.0	2.080738	PD
SRR10911306	65.5	2.373964	PD
SRR10911308	58.142857	3.059577	PD
SRR10911309	46.5	2.282257	PD
SRR10911312	35.857143	2.504633	PD
SRR10911314	47.2	1.116265	PD
SRR10911315	18.25	1.420379	PD
SRR10911318	30.75	1.906783	PD
SRR10911324	33.5	2.135893	PD
SRR10911328	55.0	2.298381	PD
SRR10911329	54.0	2.819934	PD
SRR10911331	44.0	2.25371	PD
SRR10911334	29.75	1.667589	PD
SRR10911336	66.0	2.307283	PD
SRR10911337	76.142857	2.777009	PD
SRR10911338	37.333333	2.034657	PD
SRR10911339	28.6	2.094428	PD
SRR10911344	52.333333	2.600407	PD
SRR10911347	53.142857	2.995979	PD
SRR10911349	35.6	1.368857	PD
SRR10911350	42.2	2.496351	PD
SRR10911351	52.5	2.503238	PD
SRR10911353	49.5	2.594422	PD
SRR10911354	18.5	0.785153	PD
SRR10911355	43.6	2.534688	PD
SRR10911356	29.666667	1.421901	PD
SRR10911359	25.333333	1.575985	PD
SRR10911360	39.5	2.185395	PD
SRR10911363	57.8	2.449045	PD
SRR10911366	22.0	2.096612	PD
SRR10911369	36.25	2.355608	PD
SRR10911372	32.2	2.022739	PD
SRR10911374	25.5	1.858088	PD
SRR10911379	44.0	3.038902	HC
SRR10911381	45.75	2.96787	HC
SRR10911383	37.0	1.525471	HC
SRR10911384	49.363636	2.362605	PD
SRR10911386	33.111111	1.838643	HC
SRR10911387	36.6	1.383409	PD
SRR10911388	48.0	2.030899	PD
SRR10911390	47.0	1.985594	HC
SRR10911393	49.428571	2.09616	HC
SRR10911395	23.0	1.22065	PD
SRR10911396	39.0	2.364498	HC
SRR10911397	75.0	2.601181	PD
SRR10911399	52.333333	2.330984	PD
SRR10911400	26.0	1.820973	HC
SRR10911404	24.0	1.965591	PD
SRR10911405	67.142857	2.540908	HC
SRR10911407	35.0	1.980221	HC
SRR10911408	26.0	1.579927	PD
SRR10911409	59.0	2.598594	PD
SRR10911411	42.111111	2.564249	HC
SRR10911412	35.666667	2.199767	PD
SRR10911415	52.428571	2.822484	PD
SRR10911416	46.333333	1.836888	PD
SRR10911417	61.5	2.234368	HC
SRR10911418	16.5	1.498289	HC
SRR10911421	75.0	2.783406	PD
SRR10911429	17.333333	1.394369	HC
SRR10911430	17.5	1.881344	PD
SRR10911431	63.0	1.841111	PD
SRR10911432	28.5	1.826565	PD
SRR10911434	76.0	2.51825	HC
SRR10911436	53.6	2.630173	PD
SRR10911441	23.666667	1.707232	PD
SRR10911445	58.909091	2.967233	PD
SRR10911448	24.75	2.076745	PD
SRR10911449	52.625	2.637914	PD
SRR10911453	52.0	2.209362	PD
SRR10911456	46.0	2.210961	PD
SRR10911458	64.0	3.184782	HC
SRR10911460	17.0	0.502627	PD
SRR10911461	49.928571	2.063744	PD
SRR10911462	65.571429	2.970491	PD
SRR10911464	64.5	1.875832	HC
SRR10911469	30.5	1.678377	PD
SRR10911471	57.166667	2.636474	HC
SRR10911472	58.428571	2.700062	HC
SRR10911475	57.666667	2.452254	PD
SRR10911476	74.125	3.186366	PD
SRR10911477	34.5	1.926096	HC
SRR10911478	46.625	2.630721	PD
SRR10911479	57.0	3.114774	PD
SRR10911480	32.666667	1.583638	HC
SRR10911483	40.6	1.429916	PD
SRR10911484	25.5	1.568732	HC
SRR10911487	52.0	2.253856	HC
SRR10911491	50.0	2.228517	PD
SRR10911492	44.25	2.116752	PD
SRR10911495	32.2	1.679018	HC
SRR10911496	66.6	2.009217	PD
SRR10911501	36.428571	1.58375	HC
SRR10911502	42.75	2.137743	PD
SRR10911506	56.5	2.585522	PD
SRR10911507	24.0	1.916232	HC
SRR10911510	40.0	2.196944	HC
SRR10911512	46.0	2.588011	PD
SRR10911514	33.0	1.921865	PD
SRR10911517	61.6	2.832629	HC
SRR10911523	106.0	2.103686	PD
SRR10911526	51.333333	2.160328	HC
SRR10911527	28.666667	1.907047	PD
SRR10911529	49.2	2.776939	PD
SRR10911530	68.666667	2.446369	HC
SRR10911531	53.2	2.808578	PD
SRR10911534	25.333333	1.791612	PD
SRR10911537	57.111111	2.850266	HC
SRR10911540	31.333333	2.027889	HC
SRR10911541	59.0	2.714956	PD
SRR10911542	37.666667	2.032518	PD
SRR10911544	55.6	2.542151	HC
SRR10911547	41.2	1.333354	PD
SRR10911549	17.5	0.407836	HC
SRR10911551	35.0	1.131394	PD
SRR10911552	51.2	1.731445	HC
SRR10911553	42.5	2.202162	PD
SRR10911555	31.0	1.71918	HC
SRR10911558	48.666667	1.470261	PD
SRR10911559	60.0	3.111714	PD
SRR10911561	45.625	1.907859	HC
SRR10911564	19.333333	1.91448	HC
SRR10911567	74.5	2.86141	PD
SRR10911569	59.909091	3.126049	PD
SRR10911571	56.333333	2.855975	HC
SRR10911572	37.6	1.471277	PD
SRR10911573	51.0	2.32607	PD
SRR10911574	42.0	2.415542	HC
SRR10911575	45.875	2.447267	PD
SRR10911577	49.75	3.030235	HC
SRR10911578	58.461538	2.765738	HC
SRR10911582	35.5	2.421186	HC
SRR10911583	63.625	3.025362	PD
SRR10911585	42.5	1.780239	PD
SRR10911586	38.666667	2.374018	PD
SRR10911587	45.333333	2.767207	HC
SRR10911589	47.0	2.43698	HC
SRR10911590	55.625	2.892392	PD
SRR10911592	36.5	0.866726	PD
SRR10911593	43.666667	1.753146	PD
SRR10911594	52.75	2.606349	HC
SRR10911598	60.0	2.000295	PD
SRR10911600	91.0	3.293088	PD
SRR10911602	74.75	3.270603	PD
SRR10911604	33.0	0.472381	HC
SRR10911607	22.0	2.187658	HC
SRR10911608	66.111111	3.124436	PD
SRR10911609	33.0	0.456811	PD
SRR10911611	42.0	1.989705	HC
SRR10911613	57.5	2.526314	PD
SRR10911615	64.5	2.653184	HC
SRR10911617	50.666667	2.636971	PD
SRR10911620	61.428571	2.876801	PD
SRR10911621	33.5	2.062453	PD
SRR10911628	46.5	2.772246	HC
SRR10911636	28.6	1.386841	HC
SRR10911641	70.333333	2.474459	PD
SRR10911642	40.0	2.510024	HC
SRR10911645	50.5	2.530931	HC
SRR10911647	47.6	2.339608	PD
SRR10911649	14.333333	1.180727	PD
SRR10911653	27.5	1.702712	HC
SRR10911654	54.25	2.212975	PD
SRR10911657	46.857143	2.320703	HC
SRR10911659	40.0	2.075047	PD
SRR10911661	41.5	2.305511	HC
SRR10911662	61.0	2.718712	PD
SRR10911664	57.5	3.031072	PD
SRR10911665	54.25	2.152798	PD
SRR10911666	45.0	2.283193	HC
SRR10911668	16.857143	1.118707	PD
SRR10911669	64.625	3.268569	PD
