row	col	cor	p	abs
Phocaeicola_vulgatus	Pseudescherichia_vulneris	-0.132136	0.0	0.132136
Bacteroides_uniformis	Pseudescherichia_vulneris	-0.130008	0.0	0.130008
Faecalibacterium_prausnitzii	Pseudescherichia_vulneris	-0.239224	0.0	0.239224
Vescimonas_coprocola	Pseudescherichia_vulneris	-0.275909	0.0	0.275909
Faecalibacterium_duncaniae	Pseudescherichia_vulneris	-0.228929	0.0	0.228929
Bacteroides_stercoris	Pseudescherichia_vulneris	0.100223	0.012	0.100223
Proteus_mirabilis	Pseudescherichia_vulneris	0.145776	0.0	0.145776
Akkermansia_muciniphila	Pseudescherichia_vulneris	-0.159229	0.0	0.159229
Phocaeicola_massiliensis	Pseudescherichia_vulneris	-0.111586	0.012	0.111586
Eubacterium_rectale	Pseudescherichia_vulneris	-0.100899	0.024	0.100899
Ruminococcus_bromii	Pseudescherichia_vulneris	-0.132864	0.0	0.132864
Alistipes_onderdonkii	Pseudescherichia_vulneris	-0.103879	0.012	0.103879
Alistipes_putredinis	Pseudescherichia_vulneris	-0.157664	0.0	0.157664
Bacteroides_kribbi	Pseudescherichia_vulneris	0.16037	0.012	0.16037
Bacteroides_fragilis	Pseudescherichia_vulneris	0.102625	0.048	0.102625
Gemmiger_formicilis	Pseudescherichia_vulneris	-0.157172	0.0	0.157172
Pseudomonas_paraversuta	Pseudescherichia_vulneris	0.114065	0.0	0.114065
Eubacterium_siraeum	Pseudescherichia_vulneris	-0.103864	0.0	0.103864
Ruminococcus_champanellensis	Pseudescherichia_vulneris	-0.151494	0.0	0.151494
Blautia_faecis	Pseudescherichia_vulneris	-0.152832	0.0	0.152832
Vescimonas_fastidiosa	Pseudescherichia_vulneris	-0.139658	0.0	0.139658
Bifidobacterium_adolescentis	Pseudescherichia_vulneris	0.121237	0.001	0.121237
Dialister_invisus	Pseudescherichia_vulneris	0.155332	0.0	0.155332
Fusicatenibacter_saccharivorans	Pseudescherichia_vulneris	-0.148344	0.0	0.148344
Morganella_morganii	Pseudescherichia_vulneris	0.194974	0.0	0.194974
Waltera_intestinalis	Pseudescherichia_vulneris	-0.128478	0.0	0.128478
Lachnospira_eligens	Pseudescherichia_vulneris	-0.178161	0.0	0.178161
Bifidobacterium_miconisargentati	Pseudescherichia_vulneris	0.121688	0.0	0.121688
Enterococcus_innesii	Pseudescherichia_vulneris	0.175489	0.0	0.175489
Prevotella_copri	Pseudescherichia_vulneris	0.134183	0.0	0.134183
Blautia_caecimuris	Pseudescherichia_vulneris	0.270751	0.0	0.270751
