name	chao	shannon	group
ERR10946155	82.090909	3.478362	HC
ERR10946156	55.090909	2.60208	HC
ERR10946157	98.5	3.338584	HC
ERR10946158	93.333333	3.631497	HC
ERR10946159	60.909091	3.11043	HC
ERR10946160	63.153846	3.463263	HC
ERR10946161	90.0	3.267683	HC
ERR10946162	75.0	3.528132	HC
ERR10946163	77.545455	3.893172	HC
ERR10946164	61.090909	3.294403	HC
ERR10946165	103.428571	3.279327	HC
ERR10946166	75.0	2.963904	HC
ERR10946167	79.0	3.675925	HC
ERR10946168	81.25	3.537423	HC
ERR10946169	46.333333	2.939193	HC
ERR10946170	82.428571	3.503481	HC
ERR10946171	86.0	3.62042	HC
ERR10946173	85.909091	3.445284	HC
ERR10946175	65.583333	3.288961	HC
ERR10946176	79.125	3.540333	HC
ERR10946177	74.571429	3.450568	HC
ERR10946178	101.5	3.670223	HC
ERR10946180	73.0	3.510635	HC
ERR10946181	87.125	3.601695	HC
ERR10946182	81.666667	3.524889	HC
ERR10946183	71.8	3.475769	HC
ERR10946184	93.666667	3.450356	HC
ERR10946186	80.363636	3.1286	HC
ERR10946188	86.0	3.587821	HC
ERR10946190	90.3	3.007404	HC
ERR10946191	79.090909	3.628926	HC
ERR10946192	74.090909	3.597406	HC
ERR10946193	91.909091	3.6703	HC
ERR10946195	80.0	2.91822	HC
ERR10946196	89.0	3.199232	HC
ERR10946197	96.75	3.56727	HC
ERR10946198	77.1	3.35629	HC
ERR10946199	85.25	3.240517	HC
ERR10946200	67.142857	3.553449	HC
ERR10946201	87.0	3.096846	HC
ERR10946202	50.0	2.581456	HC
ERR10946203	79.875	3.559378	HC
ERR10946205	96.375	3.156263	HC
ERR10946206	77.583333	3.352992	HC
ERR10946208	81.1	3.541264	HC
ERR10946209	110.0	3.784882	HC
ERR10946210	85.0	3.293968	HC
ERR10946211	77.857143	3.536782	HC
ERR10946213	93.0	3.393285	HC
ERR10946214	60.111111	3.048075	HC
ERR10946215	83.428571	3.493191	HC
ERR10946216	92.0	3.739805	HC
ERR10946218	100.363636	3.656291	HC
ERR10946219	89.0	3.780422	HC
ERR10946220	96.363636	3.729741	HC
ERR10946221	88.333333	3.391773	HC
ERR10946222	83.5	3.52088	HC
ERR10946223	76.0	3.456001	HC
ERR10946224	53.0	3.022141	HC
ERR10946225	74.0	3.514586	HC
ERR10946226	102.625	3.274372	HC
ERR10946227	71.5	3.476716	HC
ERR10946228	101.5	3.555	HC
ERR10946229	79.111111	3.273443	HC
ERR10946230	92.0	3.669644	HC
ERR10946231	74.142857	3.223464	HC
ERR10946232	74.882353	3.494389	HC
ERR10946233	79.076923	3.430331	HC
ERR10946234	61.142857	3.36429	HC
ERR10946235	82.714286	3.514004	HC
ERR10946236	75.142857	3.426928	HC
ERR10946237	62.5	3.100577	HC
ERR10946239	93.545455	3.460008	HC
ERR10946241	88.0	3.509966	HC
ERR10946242	80.1	3.447782	HC
ERR10946244	75.625	3.448569	HC
ERR10946246	65.0	3.363956	HC
ERR10946247	91.5	3.680109	HC
ERR10946248	90.909091	3.457246	HC
ERR10946249	83.3	3.123523	HC
ERR10946250	85.076923	3.442302	HC
