	mean	cag_group
Lachnospira_eligens	1.224929481	CAG3
Breznakia_pachnodae	0.132448246	CAG8
Phocaeicola_massiliensis	0.559145664	CAG3
Sporobacter_termitidis	0.49121696	CAG2
Phocaeicola_dorei	1.854585143	CAG4
Streptococcus_thermophilus	0.214214345	CAG6
Lachnospira_pectinoschiza	0.255114072	CAG3
Ruminiclostridium_cellulolyticum	0.203951685	CAG5
Eubacterium_oxidoreducens	0.138060515	CAG8
Duncaniella_freteri	0.178517344	CAG8
Faecalibacterium_prausnitzii	2.869617566	CAG2
Phocaeicola_plebeius	0.579880587	CAG4
Alistipes_shahii	0.564932935	CAG4
Parabacteroides_goldsteinii	0.136238568	CAG3
Clostridium_phoceensis	0.149505307	CAG5
Ruminiclostridium_cellobioparum	0.354517007	CAG3
Butyricicoccus_faecihominis	0.242000376	CAG2
Anaerocolumna_cellulosilytica	0.129081515	CAG3
Sutterella_massiliensis	0.14332166	CAG3
Prevotella_stercorea	0.287032079	CAG4
Ruminococcus_albus	0.236869581	CAG8
Anaerobutyricum_hallii	0.300837972	CAG7
Enterocloster_bolteae	0.132953151	CAG8
Romboutsia_timonensis	0.527377919	CAG6
Lachnoclostridium_edouardi	0.443252986	CAG3
Eubacterium_rectale	3.815198805	CAG3
Ruminococcus_bromii	1.794949053	CAG3
Butyrivibrio_crossotus	0.595322448	CAG4
Parabacteroides_distasonis	0.410258083	CAG2
Congzhengia_minquanensis	0.587077633	CAG2
Solibaculum_mannosilyticum	0.1383294	CAG5
Akkermansia_muciniphila	1.184565433	CAG3
Ructibacterium_gallinarum	0.118760304	CAG2
Velocimicrobium_porci	0.163044065	CAG8
Victivallis_lenta	0.172872218	CAG5
Gemmiger_formicilis	4.762583738	CAG1
Roseburia_hominis	0.160441125	CAG8
Blautia_obeum	0.333100095	CAG7
Anaerotruncus_rubiinfantis	0.13059744	CAG8
Latilactobacillus_sakei	0.318066174	CAG6
Colidextribacter_massiliensis	0.208152588	CAG3
Bacteroides_caccae	0.468970397	CAG2
Holdemanella_porci	0.387089572	CAG3
Anaerostipes_hadrus	0.60580475	CAG7
Parasutterella_excrementihominis	0.206736187	CAG4
Flintibacter_butyricus	0.735287244	CAG1
Bifidobacterium_catenulatum	0.14443089	CAG5
Eubacterium_coprostanoligenes	1.491762078	CAG1
Faecalibacterium_longum	1.452358309	CAG4
Desulfovibrio_piger	0.136146977	CAG3
Petroclostridium_xylanilyticum	0.423511284	CAG1
Saccharofermentans_acetigenes	0.248895701	CAG1
Intestinibacter_bartlettii	0.408273684	CAG6
Marasmitruncus_massiliensis	0.275893683	CAG3
Bacteroides_xylanisolvens	0.210451291	CAG3
Gabonibacter_massiliensis	0.128522858	CAG8
Prevotella_copri	2.822635411	CAG3
Fastidiosipila_sanguinis	0.111072944	CAG5
Waltera_intestinalis	0.806452	CAG3
Dialister_massiliensis	0.124226898	CAG4
Succinivibrio_dextrinosolvens	0.151692785	CAG4
Pseudoclostridium_thermosuccinogenes	0.147161921	CAG5
Blautia_phocaeensis	0.23971344	CAG1
Dorea_longicatena	0.84859468	CAG7
Methanobrevibacter_smithii	0.230363252	CAG3
Clostridium_jeddahitimonense	0.177296787	CAG6
Prevotella_hominis	1.09721289	CAG4
Roseburia_porci	0.247038421	CAG3
Coprococcus_eutactus	2.000139883	CAG4
Vallitalea_okinawensis	0.243406398	CAG2
Eubacterium_siraeum	1.040118349	CAG4
Oscillibacter_valericigenes	0.256977233	CAG8
Pseudescherichia_vulneris	0.421351595	CAG3
Bacteroides_ovatus	0.157229237	CAG2
Phascolarctobacterium_faecium	0.622012717	CAG4
Fusicatenibacter_saccharivorans	1.367032199	CAG3
Escherichia_fergusonii	0.332524573	CAG5
Tidjanibacter_massiliensis	0.143563546	CAG3
Lactobacillus_rogosae	0.350480186	CAG3
Faecalibacterium_hattorii	0.855825601	CAG8
Ruminococcus_callidus	0.352822083	CAG3
Hominisplanchenecus_faecis	0.172524151	CAG3
