row	col	cor	p	abs
Phocaeicola_vulgatus	Gemmiger_formicilis	-0.165022	0.0	0.165022
Faecalibacterium_prausnitzii	Gemmiger_formicilis	-0.356276	0.0	0.356276
Eubacterium_rectale	Gemmiger_formicilis	0.120639	0.0	0.120639
Vescimonas_coprocola	Gemmiger_formicilis	-0.150418	0.0	0.150418
Faecalibacterium_duncaniae	Gemmiger_formicilis	-0.494414	0.0	0.494414
Faecalibacterium_butyricigenerans	Gemmiger_formicilis	0.635664	0.0	0.635664
Eubacterium_coprostanoligenes	Gemmiger_formicilis	0.370267	0.0	0.370267
Faecalibacterium_longum	Gemmiger_formicilis	0.321961	0.0	0.321961
Alistipes_putredinis	Gemmiger_formicilis	0.110157	0.0	0.110157
Prevotella_hominis	Gemmiger_formicilis	0.154238	0.0	0.154238
Ruminococcus_champanellensis	Gemmiger_formicilis	-0.354093	0.0	0.354093
Bifidobacterium_adolescentis	Gemmiger_formicilis	0.263712	0.0	0.263712
Parabacteroides_merdae	Gemmiger_formicilis	-0.173749	0.0	0.173749
Intestinimonas_massiliensis	Gemmiger_formicilis	0.519056	0.0	0.519056
Bifidobacterium_longum	Gemmiger_formicilis	0.286583	0.0	0.286583
Blautia_provencensis	Gemmiger_formicilis	-0.292206	0.0	0.292206
Ruminococcoides_bili	Gemmiger_formicilis	-0.203805	0.0	0.203805
Gehongia_tenuis	Gemmiger_formicilis	0.416906	0.0	0.416906
Massilioclostridium_coli	Gemmiger_formicilis	0.400979	0.0	0.400979
Waltera_intestinalis	Gemmiger_formicilis	-0.188792	0.0	0.188792
Pseudoruminococcus_massiliensis	Gemmiger_formicilis	0.248944	0.0	0.248944
Flintibacter_butyricus	Gemmiger_formicilis	0.525283	0.0	0.525283
Alkalibaculum_bacchi	Gemmiger_formicilis	0.440885	0.0	0.440885
Dialister_invisus	Gemmiger_formicilis	0.127112	0.0	0.127112
Pseudescherichia_vulneris	Gemmiger_formicilis	-0.106709	0.0	0.106709
Congzhengia_minquanensis	Gemmiger_formicilis	-0.205149	0.0	0.205149
Lachnoclostridium_edouardi	Gemmiger_formicilis	0.144968	0.0	0.144968
Sporobacter_termitidis	Gemmiger_formicilis	-0.348863	0.0	0.348863
Guopingia_tenuis	Gemmiger_formicilis	0.195533	0.0	0.195533
Bacteroides_caccae	Gemmiger_formicilis	-0.144565	0.0	0.144565
Streptococcus_thermophilus	Gemmiger_formicilis	-0.101017	0.0	0.101017
Blautia_faecis	Gemmiger_formicilis	-0.17733	0.0	0.17733
Faecalibacterium_hattorii	Gemmiger_formicilis	-0.22039	0.0	0.22039
Metalysinibacillus_jejuensis	Gemmiger_formicilis	-0.179993	0.0	0.179993
Parabacteroides_distasonis	Gemmiger_formicilis	-0.181178	0.0	0.181178
Romboutsia_timonensis	Gemmiger_formicilis	0.114566	0.0	0.114566
Dysosmobacter_welbionis	Gemmiger_formicilis	0.250357	0.0	0.250357
Acutalibacter_muris	Gemmiger_formicilis	-0.406755	0.0	0.406755
Methanobrevibacter_smithii	Gemmiger_formicilis	-0.125373	0.0	0.125373
Anaerobutyricum_hallii	Gemmiger_formicilis	-0.127995	0.0	0.127995
Escherichia_fergusonii	Gemmiger_formicilis	0.251176	0.0	0.251176
Gemmiger_gallinarum	Gemmiger_formicilis	-0.446038	0.0	0.446038
Kineothrix_alysoides	Gemmiger_formicilis	0.32477	0.0	0.32477
Tepidibaculum_saccharolyticum	Gemmiger_formicilis	0.263139	0.0	0.263139
Vallitalea_okinawensis	Gemmiger_formicilis	-0.117893	0.0	0.117893
Neglectibacter_timonensis	Gemmiger_formicilis	0.129617	0.0	0.129617
