	CS1	CS2	group
DRR197666	0.484118234	-0.937338313	ET-B
DRR197642	-1.216615073	0.161713844	ET-L
ERR3046385	-1.330607259	-1.065210836	ET-B
DRR197690	-0.725842318	-0.099103453	ET-B
ERR2730210	-1.971959565	0.643118811	ET-L
DRR197522	-1.589464739	0.257123386	ET-L
ERR2730330	-3.234115467	1.047141497	ET-L
DRR197594	0.935643375	-1.699629926	ET-B
ERR1549058	1.671312282	-1.091726556	ET-B
ERR1549010	-1.215819614	-0.456851699	ET-B
DRR197702	-2.169738857	0.237139836	ET-L
ERR2730186	-1.908506248	-0.429860671	ET-L
DRR197618	-0.340787566	-0.847135457	ET-B
DRR197630	-0.304924284	-0.2436157	ET-B
DRR197667	0.126548096	-0.565103062	ET-B
DRR197546	-1.693711311	0.023733557	ET-L
DRR197498	0.984659215	-0.709714088	ET-B
ERR2730174	-3.073068647	1.26066672	ET-L
ERR1549034	1.346138948	-0.89609313	ET-B
ERR2730294	-3.017298101	0.653834771	ET-L
DRR197726	1.771872582	-1.960250297	ET-B
ERR2730222	-2.263092047	-0.054604297	ET-L
ERR1549047	1.834792044	-1.819779079	ET-B
ERR2730282	-3.190015346	0.925348585	ET-L
ERR3046434	-1.478744797	2.574221241	ET-P
ERR2730342	1.586746597	-2.597440943	ET-B
ERR2730258	-3.479708241	1.374965037	ET-L
DRR197643	-0.396605296	-0.4218298	ET-L
DRR197786	-0.557595284	-0.105736159	ET-L
ERR3046421	-2.324213804	0.949264673	ET-L
DRR197774	-1.695871375	0.406846462	ET-L
DRR197547	-0.376058033	-0.183007796	ET-L
ERR2730378	-2.774534327	0.519942704	ET-L
ERR3046386	-1.949910091	1.309802288	ET-L
DRR197606	-1.225977495	-0.331968511	ET-B
ERR2730366	-4.146037472	1.527363238	ET-L
DRR197558	0.30294897	-0.747355318	ET-L
ERR1549022	-1.0573248	-0.387472074	ET-B
DRR197678	0.515237356	-1.395581554	ET-B
DRR197595	-1.709032483	0.488972767	ET-L
ERR3046412	-3.890330993	1.855800286	ET-L
DRR197654	0.358700976	-1.300608041	ET-B
DRR197750	1.986400648	-1.306023619	ET-B
ERR1549048	-0.408024624	-0.591085278	ET-B
ERR1549059	2.417194546	-1.338739187	ET-B
DRR197691	-1.248065273	-0.088258527	ET-L
DRR197714	-0.401761763	-0.843351022	ET-B
DRR197619	1.135571755	-1.183416658	ET-B
DRR197534	1.16352774	-1.055009749	ET-B
ERR2730295	-4.321111672	1.463376762	ET-L
ERR2730331	-4.34426478	1.287783344	ET-L
DRR197486	-0.030825166	-0.24567026	ET-L
ERR3046387	-1.483449279	1.054013468	ET-L
DRR197798	-0.656145266	-0.765261518	ET-L
DRR197738	1.216365555	-0.298950956	ET-B
ERR2730402	-3.527189499	1.251727184	ET-L
DRR197582	0.71372176	-0.922215943	ET-B
DRR197762	-0.50258931	-0.355919395	ET-L
ERR2730234	-1.598659663	-0.582369265	ET-L
DRR197499	-1.771796842	0.022340623	ET-L
DRR197570	-0.056471963	-1.473141104	ET-B
DRR197822	-0.249876615	-0.269282807	ET-L
DRR197548	-1.260023498	-0.589780424	ET-L
ERR2730367	-1.053877274	-0.76455115	ET-B
ERR3046447	-1.571737531	1.481269478	ET-L
DRR197510	-0.959352002	-0.594923689	ET-L
DRR197834	-0.644878109	-0.47516758	ET-B
ERR1549023	-2.310105858	0.395441964	ET-L
DRR197644	-1.788630975	-0.194939757	ET-L
ERR2730187	-1.299075991	1.208352616	ET-L
ERR1549049	2.998666077	-2.505805282	ET-B
ERR2730246	-2.795220308	0.572588502	ET-L
DRR197596	-0.601199541	-0.491413162	ET-L
DRR197559	-2.062481619	-0.078104277	ET-L
ERR2730150	-2.825059257	0.577467026	ET-L
